# IdName | Kind | Type  (Type: Tech, Dirt, Ice, Water, Plastic, Grass, Snow, Rally, Bump, Scenery, Other)
SnowRoadStraight | Track | Snow
SnowRoadSlopeBase | Track | Snow
SnowRoadSlope2UTop | Track | Snow
SnowRoadSlope2UBottomInGround | Track | Snow
SnowRoadSlope2UBottom | Track | Snow
SnowRoadSlope2Straight | Track | Snow
SnowRoadSlope2Start2 | Track | Snow
SnowRoadSlope2Start | Track | Snow
SnowRoadSlope2End2 | Track | Snow
SnowRoadSlope2End | Track | Snow
SnowRoadSlope2Base | Track | Snow
SnowRoadCurve3 | Track | Snow
SnowRoadCurve2 | Track | Snow
SnowRoadCurve1 | Track | Snow
RoadTechToThemeSnowRoadX2 | Track | Snow
RoadTechToThemeSnowRoad | Track | Snow
RallyCastleWallArchX1 | Track | Rally
RallyCastleRoadToRoadTech | Track | Rally
RallyCastleRoadToRoadDirt | Track | Rally
RallyCastleRoadToRallyRoadDirtLow | Track | Rally
RallyCastleRoadToRallyRoadDirtHigh | Track | Rally
RallyCastleRoadToOpen | Track | Rally
RallyCastleRoadStraightXCastleWallPillar | Track | Rally
RallyCastleRoadStraight | Track | Rally
RallyCastleRoadCurve1Tower | Track | Rally
RallyCastleRoadCurve1 | Track | Rally
TrackWallWaterStraight | Track | Water
TrackWallWaterSpecialTurboRoulette | Track | Water
TrackWallWaterSpecialTurbo2 | Track | Water
TrackWallWaterSpecialTurbo | Track | Water
TrackWallWaterSpecialSlowMotion | Track | Water
TrackWallWaterSpecialReset | Track | Water
TrackWallWaterSpecialNoSteering | Track | Water
TrackWallWaterSpecialNoEngine | Track | Water
TrackWallWaterSpecialNoBrake | Track | Water
TrackWallWaterSpecialFragile | Track | Water
TrackWallWaterSpecialCruise | Track | Water
TrackWallWaterSpecialBoost2 | Track | Water
TrackWallWaterSpecialBoost | Track | Water
TrackWallWaterSlopeStraight | Track | Water
TrackWallWaterSlopeEnd | Track | Water
TrackWallWaterHole | Track | Water
TrackWallWaterCurve5 | Track | Water
TrackWallWaterCurve4 | Track | Water
TrackWallWaterCurve3 | Track | Water
TrackWallWaterCurve2 | Track | Water
TrackWallWaterCurve1 | Track | Water
TrackWallWaterChicaneX3Right | Track | Water
TrackWallWaterChicaneX3Left | Track | Water
TrackWallWaterChicaneX2Right | Track | Water
TrackWallWaterChicaneX2Left | Track | Water
TrackWallWaterBranchTShaped | Track | Water
TrackWallWaterBranchCross | Track | Water
RoadWaterToTrackWallWaterSlopeEnd | Track | Water
RoadWaterStraight | Track | Water
RoadWaterHole | Track | Water
RoadTechStraight | Track | Tech
RoadTechPenaltyIce | Track | Ice
RoadTechPenaltyDirt | Track | Dirt
RoadTechPenalty | Track | Tech
RoadTechHole | Track | Tech
RoadDirtPenaltyIce | Track | Dirt
RoadDirtPenaltyDirt | Track | Dirt
RoadDirtPenalty | Track | Dirt
RoadDirtHole | Track | Dirt
RoadBumpPenaltyIce | Track | Ice
RoadBumpPenaltyDirt | Track | Dirt
RoadBumpPenalty | Track | Bump
RoadBumpHole | Track | Bump
PlatformWaterToDecoWallWaterSlope2EndDeadEnd | Track | Water
PlatformWaterToDecoWallWaterSlope2EndCornerOut | Track | Water
PlatformWaterToDecoWallWaterSlope2EndCornerIn | Track | Water
PlatformWaterRampBase | Track | Water
PlatformWaterDiag | Track | Water
PlatformWaterBaseToRoadWater | Track | Water
PlatformWaterBase | Track | Water
DecoWallWaterSpecialTurboRoulette | Scenery | Water
DecoWallWaterSpecialTurbo2 | Scenery | Water
DecoWallWaterSpecialTurbo | Scenery | Water
DecoWallWaterSpecialSlowMotion | Scenery | Water
DecoWallWaterSpecialReset | Scenery | Water
DecoWallWaterSpecialNoSteering | Scenery | Water
DecoWallWaterSpecialNoEngine | Scenery | Water
DecoWallWaterSpecialNoBrake | Scenery | Water
DecoWallWaterSpecialFragile | Scenery | Water
DecoWallWaterSpecialCruise | Scenery | Water
DecoWallWaterSpecialBoost2 | Scenery | Water
DecoWallWaterSpecialBoost | Scenery | Water
DecoWallWaterSlope2StraightDeadend | Scenery | Water
DecoWallWaterSlope2EndDeadEnd | Scenery | Water
DecoWallWaterSlope2EndCornerOut | Scenery | Water
DecoWallWaterSlope2EndCornerIn | Scenery | Water
DecoWallWaterDiag | Scenery | Water
DecoWallWaterBaseToTrackWallWater | Scenery | Water
DecoWallWaterBase | Scenery | Water
DecoCliffTopStraight18m | Scenery | Scenery
DecoCliffTopStraight10m | Scenery | Scenery
DecoCliffTopCornerOut18m | Scenery | Scenery
DecoCliffTopCornerOut10m | Scenery | Scenery
DecoCliffTopCornerIn18m | Scenery | Scenery
DecoCliffTopCornerIn10m | Scenery | Scenery
DecoCliffMidStraight | Scenery | Scenery
DecoCliffMidCornerOut | Scenery | Scenery
DecoCliffMidCornerIn | Scenery | Scenery
DecoCliffIceTopStraight18m | Scenery | Ice
DecoCliffIceTopStraight10m | Scenery | Ice
DecoCliffIceTopCornerOut18m | Scenery | Ice
DecoCliffIceTopCornerOut10m | Scenery | Ice
DecoCliffIceTopCornerIn18m | Scenery | Ice
DecoCliffIceTopCornerIn10m | Scenery | Ice
DecoCliffIceMidStraight | Scenery | Ice
DecoCliffIceMidCornerOut | Scenery | Ice
DecoCliffIceMidCornerIn | Scenery | Ice
DecoCliffDirtTopStraight18m | Scenery | Dirt
DecoCliffDirtTopStraight10m | Scenery | Dirt
DecoCliffDirtTopCornerOut18m | Scenery | Dirt
DecoCliffDirtTopCornerOut10m | Scenery | Dirt
DecoCliffDirtTopCornerIn18m | Scenery | Dirt
DecoCliffDirtTopCornerIn10m | Scenery | Dirt
DecoCliffDirtMidStraight | Scenery | Dirt
DecoCliffDirtMidCornerOut | Scenery | Dirt
DecoCliffDirtMidCornerIn | Scenery | Dirt
DecoCliff8NoHillStraightSmallSimple | Scenery | Scenery
DecoCliff8NoHillStraightSmall | Scenery | Scenery
DecoCliff8NoHillStraightSimple | Scenery | Scenery
DecoCliff8NoHillStraight | Scenery | Scenery
DecoCliff8NoHillDiagOutSmallSimpleFull | Scenery | Scenery
DecoCliff8NoHillDiagOutSmallSimple | Scenery | Scenery
DecoCliff8NoHillDiagOutSmallFull | Scenery | Scenery
DecoCliff8NoHillDiagOutSmall | Scenery | Scenery
DecoCliff8NoHillDiagOutSimpleFull | Scenery | Scenery
DecoCliff8NoHillDiagOutSimple | Scenery | Scenery
DecoCliff8NoHillDiagOutFull | Scenery | Scenery
DecoCliff8NoHillDiagOut | Scenery | Scenery
DecoCliff8NoHillDiagInSmallSimpleFull | Scenery | Scenery
DecoCliff8NoHillDiagInSmallSimple | Scenery | Scenery
DecoCliff8NoHillDiagInSmallFull | Scenery | Scenery
DecoCliff8NoHillDiagInSmall | Scenery | Scenery
DecoCliff8NoHillDiagInSimpleFull | Scenery | Scenery
DecoCliff8NoHillDiagInSimple | Scenery | Scenery
DecoCliff8NoHillDiagInFull | Scenery | Scenery
DecoCliff8NoHillDiagIn | Scenery | Scenery
DecoCliff8NoHillCornerOutSimple | Scenery | Scenery
DecoCliff8NoHillCornerOut | Scenery | Scenery
DecoCliff8NoHillCornerInSmallSimple | Scenery | Scenery
DecoCliff8NoHillCornerInSmall | Scenery | Scenery
DecoCliff8NoHillCornerInSimple | Scenery | Scenery
DecoCliff8NoHillCornerIn | Scenery | Scenery
DecoCliff8IceNoHillStraightSmallSimple | Scenery | Ice
DecoCliff8IceNoHillStraightSmall | Scenery | Ice
DecoCliff8IceNoHillStraightSimple | Scenery | Ice
